City,Location,Carpet Area,Built-up Area,Super Built-up Area,BHK,Bathrooms,Balcony,Parking,Floor,Total Floors,Property Age,Facing,Property Type,Furnishing,Power Backup,Lift,Security,Swimming Pool,Gym,Garden,Nearby Metro,Nearby Hospital,Nearby School,Nearby Mall,Road Width,Corner Property,East Facing,Latitude,Longitude,Price
Pune,Wakad,1310,1572,1965,3,3,3,1,6,10,8,North,Builder Floor,Fully Furnished,1,1,1,0,0,1,0,1,1,1,30,0,0,18.548,73.8857,11851556
Nellore,Magunta Layout,837,1004,1255,2,3,0,2,10,15,5,North,Apartment,Unfurnished,1,1,1,0,0,1,1,1,1,1,60,0,0,14.3746,80.069,8386294
Tirupati,Renigunta Road,1207,1448,1810,3,3,2,1,10,10,12,West,Builder Floor,Fully Furnished,1,1,1,0,1,1,0,1,1,0,60,0,0,13.6013,79.4614,9197318
Mumbai,South Mumbai,457,548,685,1,1,2,0,4,4,22,East,Apartment,Semi-Furnished,1,1,1,0,0,0,0,1,1,0,40,0,1,19.0784,72.842,38065974
Rajahmundry,Morampudi,770,924,1155,2,2,3,0,6,20,2,South,Builder Floor,Semi-Furnished,0,1,1,1,0,1,0,1,1,0,40,0,0,17.0935,81.7626,5441607
Kolkata,Rajarhat,878,1053,1316,2,2,0,0,22,40,14,South,Builder Floor,Semi-Furnished,1,1,0,0,1,0,1,1,1,1,30,0,0,22.6435,88.3256,6888844
Anantapur,Kalyandurg Road,1562,1874,2342,4,4,2,1,5,20,24,East,Apartment,Semi-Furnished,1,1,1,0,0,1,1,0,1,0,30,0,1,14.6389,77.5466,5777844
Nellore,Magunta Layout,1330,1596,1995,3,3,2,0,2,10,1,South,Apartment,Semi-Furnished,1,1,1,0,0,1,1,0,1,1,30,0,0,14.4914,79.9809,14749389
Anantapur,Housing Board Colony,969,1162,1452,2,2,1,1,1,15,13,North,Apartment,Semi-Furnished,1,1,0,1,0,1,0,0,1,0,40,0,0,14.7127,77.5654,5660695
Anantapur,Kalyandurg Road,1389,1666,2082,3,4,1,0,6,7,0,West,Apartment,Semi-Furnished,0,1,1,0,0,0,0,1,1,0,30,1,0,14.7174,77.6156,6718478
Ahmedabad,Satellite,1257,1508,1885,3,3,2,0,15,20,17,East,Apartment,Fully Furnished,1,0,1,0,0,0,1,1,0,0,60,0,1,23.0511,72.6013,14664798
Vijayawada,Moghalrajpuram,1274,1528,1910,3,3,2,1,3,20,0,East,Apartment,Fully Furnished,0,0,1,1,0,1,0,1,1,1,30,0,1,16.452,80.615,22763791
Kolkata,Rajarhat,886,1063,1328,2,2,2,2,6,10,8,West,Apartment,Fully Furnished,1,1,0,0,0,1,1,1,1,0,40,0,0,22.5771,88.4052,8002014
Tirupati,Renigunta Road,521,625,781,1,1,2,1,1,4,2,West,Apartment,Unfurnished,1,1,0,0,0,1,1,1,1,1,30,1,0,13.6122,79.343,4321159
Chennai,T Nagar,872,1046,1307,2,2,1,1,4,7,4,North,Apartment,Semi-Furnished,1,1,1,0,0,0,1,1,1,1,40,0,0,13.1743,80.2542,23913637
Guntur,Lakshmipuram,501,601,751,1,1,0,0,1,2,23,South,Villa,Semi-Furnished,1,0,1,0,0,1,1,1,1,1,20,0,0,16.3239,80.4262,5014894
Ahmedabad,Ghatlodia,476,571,713,1,1,2,0,2,15,25,North,Apartment,Semi-Furnished,0,1,1,0,1,1,1,1,1,0,40,0,0,23.013,72.5561,2909514
Kolkata,Salt Lake,494,592,740,1,2,2,2,7,20,13,North,Apartment,Fully Furnished,1,1,1,1,1,0,1,1,1,1,40,0,0,22.6219,88.3778,8849517
Hyderabad,Gachibowli,1217,1460,1825,3,2,2,1,6,10,7,South,Penthouse,Semi-Furnished,1,0,1,0,0,1,1,1,1,1,40,1,0,17.2808,78.5931,21967436
Rajahmundry,Innespeta,1699,2038,2547,4,4,1,0,5,7,22,South,Builder Floor,Unfurnished,0,0,1,0,0,0,1,1,1,0,60,0,0,16.9566,81.7965,9949708
Jaipur,Vaishali Nagar,747,896,1120,2,2,1,0,13,15,5,North,Apartment,Unfurnished,1,1,1,0,0,1,0,1,1,0,30,1,0,26.9048,75.8048,6335345
Tirupati,TUDA Layout,1216,1459,1823,3,3,1,2,11,15,8,North,Builder Floor,Fully Furnished,1,1,1,1,1,0,1,1,0,1,60,1,0,13.6048,79.4363,13450041
Kurnool,Joharapuram,1795,2154,2692,4,4,2,1,23,40,18,South,Apartment,Semi-Furnished,1,1,1,1,0,0,1,1,0,1,30,0,0,15.8583,78.0919,8371745
Kadapa,Co-operative Colony,530,636,795,1,1,2,0,11,15,0,South,Apartment,Unfurnished,0,1,1,0,1,1,1,1,0,0,40,0,0,14.5022,78.8321,4573744
Mumbai,Thane,390,468,585,1,2,1,2,10,10,23,West,Apartment,Unfurnished,0,1,1,0,1,1,1,1,1,0,40,1,0,19.0619,72.8323,10161893
Kakinada,Ramaraopeta,2120,2544,3180,5,4,2,1,1,15,17,North,Apartment,Unfurnished,1,1,0,0,0,0,1,1,1,1,20,0,0,16.9902,82.2133,12586871
Kadapa,Nagarajupet,1734,2080,2600,4,4,1,1,2,4,10,East,Builder Floor,Unfurnished,1,1,1,0,0,1,1,1,1,1,40,0,1,14.4495,78.8689,13295064
Hyderabad,Jubilee Hills,861,1033,1291,2,2,0,2,3,3,22,East,Villa,Unfurnished,0,0,1,0,0,1,1,1,1,1,40,0,1,17.3195,78.4197,21905640
Kolkata,Tollygunge,990,1188,1485,2,2,3,1,6,10,20,West,Apartment,Unfurnished,1,1,1,0,0,1,1,1,0,1,30,1,0,22.5869,88.414,8881166
Guntur,Arundelpet,1376,1651,2063,3,3,1,1,2,15,2,West,Apartment,Semi-Furnished,1,1,1,1,0,1,0,1,1,1,60,0,0,16.3206,80.511,16773038
Hyderabad,Gachibowli,840,1008,1260,2,2,2,1,1,20,1,East,Apartment,Semi-Furnished,1,1,1,1,0,0,1,0,1,0,30,0,1,17.3566,78.5277,12072283
Visakhapatnam,Gajuwaka,1901,2281,2851,5,4,1,1,5,7,12,North,Apartment,Semi-Furnished,1,1,1,0,0,1,0,1,0,0,60,1,0,17.6902,83.1804,16480049
Lucknow,Indira Nagar,971,1165,1456,2,2,0,1,4,7,3,East,Apartment,Semi-Furnished,1,1,0,0,0,1,1,1,1,1,40,0,1,26.8049,80.8605,9946155
Vijayawada,Moghalrajpuram,1296,1555,1943,3,3,1,0,4,7,13,South,Apartment,Fully Furnished,1,1,1,0,0,1,1,1,1,1,40,0,0,16.5658,80.7297,19479849
Kurnool,Joharapuram,547,656,820,1,2,0,0,16,30,13,North,Apartment,Semi-Furnished,1,1,1,1,0,1,0,1,1,1,30,0,0,15.8061,77.9533,2572178
Kakinada,Ramaraopeta,1326,1591,1988,3,3,1,0,1,3,8,North,Villa,Unfurnished,1,0,1,0,0,1,1,1,1,1,20,0,0,17.0293,82.2991,11604004
Tirupati,Bairagipatteda,720,864,1080,2,2,1,1,2,10,7,South,Apartment,Semi-Furnished,1,1,1,0,1,1,1,1,1,1,30,0,0,13.5968,79.4402,6420184
Kolkata,Salt Lake,573,687,858,1,1,1,1,1,4,10,West,Apartment,Semi-Furnished,1,1,1,0,0,1,1,1,1,0,60,1,0,22.6511,88.3959,9216130
Kolkata,Salt Lake,808,969,1211,2,2,1,1,15,40,10,West,Builder Floor,Semi-Furnished,0,0,1,0,1,0,1,1,1,0,40,1,0,22.6689,88.3881,12801577
Delhi,Connaught Place,828,993,1241,2,2,0,1,4,7,19,West,Builder Floor,Fully Furnished,1,1,1,0,0,0,1,1,1,1,60,1,0,28.5699,77.2188,35243113
Jaipur,Vaishali Nagar,322,386,482,1,1,1,0,2,2,23,East,Villa,Unfurnished,1,0,1,1,0,1,0,1,0,0,20,0,1,26.9695,75.7702,2724461
Ahmedabad,Bopal,822,986,1232,2,2,2,1,6,20,21,East,Apartment,Semi-Furnished,1,1,1,0,1,0,1,1,1,1,60,0,1,22.9843,72.5887,5354011
Bangalore,Whitefield,999,1198,1497,2,2,2,0,4,20,16,East,Apartment,Semi-Furnished,1,1,1,0,1,1,0,1,1,0,40,0,1,12.9382,77.5811,11705343
Kakinada,Pithapuram Road,997,1196,1495,2,3,0,1,4,4,18,East,Apartment,Semi-Furnished,1,1,1,0,0,1,0,0,1,1,20,0,1,16.9634,82.2632,4342230
Rajahmundry,Lala Cheruvu,2122,2546,3182,5,5,1,2,7,7,8,South,Apartment,Unfurnished,1,1,1,0,0,1,1,1,1,0,30,0,0,17.0521,81.8478,11786945
Kurnool,Kallur,1132,1358,1697,3,3,2,1,2,4,16,South,Builder Floor,Semi-Furnished,1,1,1,0,0,0,1,1,0,0,40,0,0,15.8028,77.9229,5871476
Bangalore,Electronic City,1229,1474,1842,3,3,2,1,2,3,22,North,Villa,Unfurnished,1,0,1,0,0,1,1,1,1,1,30,0,0,13.0032,77.5939,12185433
Vijayawada,Benz Circle,578,693,866,1,1,1,0,1,7,14,East,Apartment,Semi-Furnished,1,0,1,0,0,1,0,0,1,1,30,1,1,16.4652,80.5838,9191685
Chennai,OMR,484,580,725,1,1,2,1,3,4,11,South,Apartment,Unfurnished,1,1,1,0,0,1,1,1,1,0,20,0,0,13.1078,80.3026,4556815
Kadapa,Yerramukkapalli,703,843,1053,2,2,2,2,4,4,24,West,Apartment,Unfurnished,1,1,1,0,0,0,1,1,0,1,20,0,0,14.3909,78.7551,3667680
Kakinada,Bhanugudi Junction,893,1071,1338,2,1,0,0,29,30,25,North,Apartment,Semi-Furnished,1,0,0,0,0,0,1,1,0,0,60,0,0,16.9387,82.2329,6242140
Bangalore,Indiranagar,1292,1550,1937,3,3,2,1,10,20,24,West,Builder Floor,Unfurnished,1,1,0,0,1,0,0,1,1,1,40,1,0,13.0048,77.5988,28380724
Nellore,Vedayapalem,793,951,1188,2,2,1,1,1,7,25,South,Penthouse,Unfurnished,0,0,1,1,0,0,0,1,1,0,60,0,0,14.4978,80.006,5704225
Kakinada,Pithapuram Road,1982,2378,2972,5,4,1,1,26,40,19,East,Apartment,Unfurnished,1,1,1,0,1,1,1,1,1,0,80,1,1,16.9845,82.1975,9152604
Chennai,Anna Nagar,1270,1524,1905,3,4,2,2,3,7,17,South,Apartment,Unfurnished,1,0,1,0,0,1,0,1,1,0,30,0,0,12.986,80.3001,19014428
Pune,Kothrud,1979,2374,2967,5,6,1,2,4,15,20,North,Apartment,Semi-Furnished,1,1,1,0,0,1,1,1,1,0,20,1,0,18.5118,73.8433,23325415
Mumbai,Borivali,2119,2542,3177,5,5,2,0,6,30,20,West,Apartment,Semi-Furnished,1,1,1,0,1,0,1,1,1,0,40,0,0,19.0968,72.9298,67735228
Vizianagaram,Kothavalasa,1248,1497,1871,3,3,1,0,10,15,0,South,Builder Floor,Unfurnished,1,0,0,0,0,1,0,1,1,1,30,0,0,18.1019,83.4338,5139349
Rajahmundry,Lala Cheruvu,1221,1465,1831,3,4,0,1,38,40,21,West,Builder Floor,Fully Furnished,1,0,1,0,0,0,0,1,1,1,30,0,0,17.0015,81.8339,5976778
Eluru,Powerpet,377,452,565,1,1,0,1,3,4,11,South,Apartment,Unfurnished,1,1,1,0,0,0,1,1,0,1,30,1,0,16.7352,81.0964,2003687
Jaipur,Jagatpura,1129,1354,1692,3,3,1,1,2,10,20,North,Apartment,Unfurnished,1,1,0,0,0,0,1,0,1,0,30,0,0,26.9057,75.7823,4944225
Jaipur,C-Scheme,578,693,866,1,1,1,1,1,4,19,East,Apartment,Fully Furnished,1,1,1,0,0,1,0,1,1,0,40,0,1,26.9694,75.7609,8108198
Kakinada,Pithapuram Road,1544,1852,2315,4,4,1,1,19,20,11,East,Builder Floor,Fully Furnished,1,0,1,1,0,1,1,1,1,1,20,0,1,16.9456,82.1694,8674113
Nellore,Harnathapuram,970,1164,1455,2,2,1,0,1,30,24,East,Builder Floor,Fully Furnished,1,1,1,0,0,1,1,1,1,1,30,0,1,14.3911,80.0258,8020795
Tirupati,Bairagipatteda,1967,2360,2950,5,5,1,1,5,10,4,East,Builder Floor,Semi-Furnished,0,1,1,0,0,1,1,1,1,1,60,1,1,13.6667,79.3309,17887978
Anantapur,Kalyandurg Road,593,711,888,1,2,0,1,4,10,7,South,Apartment,Fully Furnished,1,1,1,0,1,0,1,1,1,0,60,0,0,14.6772,77.7086,3096009
Mumbai,Andheri,1719,2062,2577,4,4,1,0,7,7,8,East,Apartment,Fully Furnished,1,0,1,0,0,1,1,1,1,1,30,0,1,19.1146,72.8698,89264577
Lucknow,Indira Nagar,958,1149,1436,2,2,1,1,9,10,0,South,Apartment,Semi-Furnished,1,1,1,0,0,1,1,1,1,0,60,0,0,26.8008,80.9491,10224226
Hyderabad,Kondapur,1327,1592,1990,3,3,1,1,4,10,0,North,Apartment,Unfurnished,1,0,1,0,1,1,0,1,1,0,60,0,0,17.382,78.5211,14671230
Ahmedabad,Bopal,1790,2148,2685,4,4,0,1,2,4,6,North,Apartment,Unfurnished,1,1,0,0,0,1,1,1,1,1,30,0,0,22.9977,72.5808,13675667
Pune,Kothrud,1154,1384,1730,3,2,1,1,1,4,21,East,Apartment,Semi-Furnished,0,1,0,0,0,1,1,1,1,0,40,0,1,18.5225,73.9662,13390241
Kolkata,Alipore,1103,1323,1653,3,3,1,0,8,15,15,South,Builder Floor,Unfurnished,0,1,1,0,0,0,1,1,1,0,60,1,0,22.6246,88.3908,23678443
Kurnool,Nandyal Road,1387,1664,2080,3,3,2,1,6,7,7,North,Apartment,Semi-Furnished,1,1,1,0,0,0,1,1,1,0,30,1,0,15.8812,78.0887,9476184
Kurnool,Kallur,1281,1537,1921,3,3,2,2,4,4,7,North,Apartment,Fully Furnished,1,1,1,0,0,0,0,1,1,1,30,0,0,15.7751,77.9688,7529501
Guntur,Pattabhipuram,1315,1578,1972,3,3,2,1,19,20,19,West,Apartment,Semi-Furnished,1,1,1,0,1,0,0,1,1,1,60,0,0,16.3253,80.448,9442287
Ahmedabad,Satellite,410,492,615,1,1,1,2,3,7,2,South,Apartment,Fully Furnished,1,1,1,0,0,1,0,1,1,1,40,0,0,22.9574,72.4827,5816433
Jaipur,Vaishali Nagar,1166,1399,1748,3,3,2,1,4,20,20,West,Penthouse,Semi-Furnished,0,1,1,0,0,0,1,1,1,1,30,0,0,26.9724,75.7822,10537224
Rajahmundry,Lala Cheruvu,1761,2113,2641,4,4,1,1,16,20,14,East,Apartment,Semi-Furnished,1,0,0,1,0,0,1,1,1,0,30,0,1,16.9789,81.8068,9951011
Guntur,Brodipet,1347,1616,2020,3,3,1,0,4,20,16,North,Apartment,Fully Furnished,1,0,1,0,0,1,1,1,1,1,40,0,0,16.3033,80.4318,14406380
Vijayawada,Benz Circle,711,853,1066,2,1,2,1,6,10,14,North,Apartment,Semi-Furnished,0,1,0,0,0,0,1,1,1,0,40,0,0,16.5759,80.6378,11408847
Hyderabad,Secunderabad,914,1096,1370,2,1,2,2,4,7,12,South,Apartment,Semi-Furnished,0,0,1,0,0,1,0,0,0,0,30,0,0,17.234,78.5207,7117627
Anantapur,Housing Board Colony,2135,2562,3202,5,5,2,1,2,7,24,East,Apartment,Unfurnished,1,0,1,0,0,1,0,1,1,1,30,0,1,14.592,77.525,10481640
Vizianagaram,Balaji Nagar,897,1076,1345,2,1,3,1,28,30,12,North,Apartment,Semi-Furnished,1,1,0,1,1,1,1,1,1,0,30,0,0,18.1753,83.4211,6018185
Tirupati,Korlagunta,1321,1585,1981,3,4,0,0,13,15,12,West,Apartment,Unfurnished,1,1,0,0,0,0,1,1,0,0,30,0,0,13.6159,79.5096,7830045
Kurnool,Joharapuram,892,1070,1337,2,2,2,1,2,2,6,West,Villa,Fully Furnished,1,0,1,0,0,0,1,1,1,1,40,0,0,15.8425,77.9928,5820401
Kurnool,Nandyal Road,849,1018,1272,2,1,1,1,1,10,9,East,Apartment,Semi-Furnished,0,1,1,0,1,1,1,1,1,1,40,1,1,15.8218,78.1032,6274075
Guntur,Lakshmipuram,1294,1552,1940,3,3,0,2,4,7,14,South,Apartment,Semi-Furnished,0,1,1,0,0,1,1,1,1,1,40,0,0,16.3393,80.4918,11434958
Ahmedabad,SG Highway,705,846,1057,2,2,2,2,28,40,21,South,Apartment,Semi-Furnished,1,0,1,0,0,1,0,1,1,1,40,0,0,22.9987,72.667,5520712
Rajahmundry,Ramanayyapeta,525,630,787,1,2,2,1,16,20,20,North,Apartment,Unfurnished,0,1,1,0,1,0,1,1,1,0,30,0,0,17.0726,81.7669,2152578
Chennai,Adyar,750,900,1125,2,2,2,1,5,10,6,West,Apartment,Semi-Furnished,1,1,0,0,0,0,1,1,1,0,30,0,0,13.0779,80.2485,17108407
Eluru,RR Peta,518,621,776,1,1,1,0,6,20,23,East,Penthouse,Semi-Furnished,1,1,1,0,1,0,0,1,1,1,30,0,1,16.6889,81.0751,4354522
Chennai,Adyar,1257,1508,1885,3,4,2,0,8,40,21,West,Apartment,Unfurnished,1,1,0,1,1,1,0,1,1,1,40,0,0,13.068,80.2883,25043043
Nellore,Dargamitta,1194,1432,1790,3,2,0,1,5,30,9,West,Apartment,Unfurnished,1,1,0,1,0,1,1,1,1,1,40,0,0,14.3962,79.9731,9936110
Lucknow,Gomti Nagar,927,1112,1390,2,1,1,1,27,30,16,South,Builder Floor,Semi-Furnished,1,1,0,1,1,1,0,1,1,1,80,0,0,26.8682,81.0392,9465739
Vizianagaram,Balaji Nagar,1238,1485,1856,3,4,2,2,2,15,4,South,Apartment,Unfurnished,1,0,0,1,1,1,0,1,1,0,20,0,0,18.2301,83.2715,8167277
Kakinada,Pithapuram Road,1639,1966,2457,4,4,1,0,5,7,1,North,Apartment,Fully Furnished,1,0,0,0,0,1,1,1,1,1,30,0,0,17.0168,82.2922,9148949
Chennai,OMR,565,678,847,1,2,1,0,3,3,7,East,Villa,Semi-Furnished,1,0,1,1,0,0,0,1,1,1,30,0,1,13.0586,80.2427,6909074
Chennai,Adyar,395,474,592,1,2,1,0,3,4,16,North,Apartment,Semi-Furnished,1,1,1,0,0,1,1,1,1,0,30,0,0,12.9195,80.2107,7989973
Rajahmundry,Morampudi,2061,2473,3091,5,5,0,1,7,7,0,East,Apartment,Semi-Furnished,1,1,1,0,0,1,0,1,1,0,40,0,1,16.9858,81.8177,14862458
Visakhapatnam,Rushikonda,931,1117,1396,2,2,0,1,7,15,22,East,Apartment,Semi-Furnished,1,1,1,0,0,1,0,1,1,1,30,0,1,17.5974,83.1799,10231387
Lucknow,Charbagh,1185,1422,1777,3,4,2,1,1,4,0,West,Apartment,Unfurnished,1,0,1,0,0,0,1,1,1,0,30,0,0,26.75,80.8715,8283541
Visakhapatnam,Gajuwaka,323,387,483,1,1,2,0,6,15,6,West,Apartment,Semi-Furnished,1,0,1,0,0,1,1,0,1,1,40,0,0,17.6306,83.1745,2900685
Visakhapatnam,Madhurawada,480,576,720,1,1,1,1,1,10,7,East,Apartment,Semi-Furnished,1,0,1,0,1,1,1,1,1,0,20,1,1,17.7036,83.2444,5871746
Nellore,Podalakur Road,375,450,562,1,1,2,1,10,15,5,South,Apartment,Semi-Furnished,1,1,1,1,0,0,0,1,1,0,60,0,0,14.5753,79.949,2030067
Lucknow,Indira Nagar,885,1062,1327,2,1,1,1,1,1,4,South,Villa,Unfurnished,1,0,1,1,0,0,0,1,1,1,30,1,0,26.8477,80.9219,10476637
Hyderabad,Kondapur,1347,1616,2020,3,3,2,0,7,7,24,North,Apartment,Semi-Furnished,1,0,1,0,0,0,1,1,1,1,80,1,0,17.3765,78.4564,12305732
Chennai,OMR,1696,2035,2543,4,4,1,1,4,4,7,West,Apartment,Unfurnished,1,1,1,0,0,0,1,0,1,1,30,0,0,13.1092,80.2169,16870442
Chennai,OMR,762,914,1142,2,1,0,2,13,15,2,North,Apartment,Unfurnished,1,1,1,0,0,1,1,0,1,1,30,0,0,13.0733,80.2096,7561068
Kakinada,Sarpavaram,887,1064,1330,2,2,1,0,2,3,4,West,Villa,Semi-Furnished,1,0,0,1,0,0,0,1,1,1,30,0,0,16.982,82.1884,7243210
Delhi,Dwarka,800,960,1200,2,2,1,2,1,1,5,East,Villa,Fully Furnished,1,0,1,1,0,1,1,1,1,1,40,0,1,28.6462,77.2248,22945001
Pune,Baner,1584,1900,2375,4,5,2,1,2,15,8,East,Apartment,Unfurnished,1,0,1,0,1,1,1,1,1,1,30,0,1,18.4723,73.7941,16392545
Kakinada,Sarpavaram,800,960,1200,2,1,2,0,7,15,0,South,Apartment,Semi-Furnished,0,1,1,0,1,1,1,0,1,0,30,0,0,16.8789,82.2619,5692093
Vizianagaram,Cantonment,1106,1327,1658,3,3,1,0,2,2,21,West,Villa,Semi-Furnished,1,0,1,1,0,0,1,1,1,1,40,0,0,18.0109,83.3756,9665728
Kurnool,Budhavarapeta,826,991,1238,2,2,3,0,1,2,3,North,Villa,Semi-Furnished,1,0,1,1,0,1,1,1,1,0,60,1,0,15.8034,77.9922,7220365
Tirupati,TUDA Layout,1314,1576,1970,3,2,1,0,2,10,17,East,Apartment,Semi-Furnished,1,1,1,0,0,0,0,1,1,0,60,0,1,13.5768,79.4082,9579689
Nellore,Harnathapuram,812,974,1217,2,3,2,2,14,15,16,East,Apartment,Semi-Furnished,0,0,1,0,1,0,1,1,1,0,40,0,1,14.4592,79.9906,6854790
Kurnool,Nandyal Road,443,531,663,1,2,0,1,1,7,10,West,Builder Floor,Fully Furnished,0,1,1,0,0,1,0,1,0,1,30,1,0,15.8817,78.0427,3226086
Kurnool,Joharapuram,1300,1560,1950,3,3,0,1,3,4,17,West,Apartment,Fully Furnished,1,1,1,0,0,1,0,1,1,0,40,0,0,15.8122,78.0235,5899181
Kurnool,C-Camp,1525,1830,2287,4,5,1,1,8,10,22,East,Penthouse,Unfurnished,1,0,0,0,1,0,1,0,1,1,60,0,1,15.8186,77.9652,13461180
Rajahmundry,Morampudi,814,976,1220,2,2,0,0,4,20,10,West,Apartment,Semi-Furnished,1,1,1,0,1,0,0,1,1,1,30,0,0,17.0444,81.8083,5010308
Mumbai,Bandra,1258,1509,1886,3,4,2,2,2,4,5,East,Apartment,Unfurnished,1,0,1,0,0,1,0,1,1,0,40,0,1,19.0328,72.9427,92636233
Hyderabad,Jubilee Hills,1169,1402,1752,3,3,1,1,2,7,23,South,Apartment,Semi-Furnished,1,0,0,0,0,0,1,1,1,1,40,0,0,17.3632,78.4548,24217831
Kadapa,Co-operative Colony,1748,2097,2621,4,4,3,1,4,7,18,West,Apartment,Unfurnished,1,1,1,0,0,0,0,1,0,1,40,0,0,14.4935,78.8543,11772302
Guntur,Brodipet,392,470,587,1,2,0,2,3,10,17,South,Apartment,Fully Furnished,1,1,1,0,1,1,0,1,1,0,30,0,0,16.311,80.486,3878223
Kurnool,Nandyal Road,1939,2326,2907,5,5,0,2,1,4,2,South,Apartment,Semi-Furnished,1,0,0,0,0,0,1,1,1,0,20,0,0,15.8484,78.0282,13569766
Chennai,Anna Nagar,565,678,847,1,1,0,1,3,15,0,East,Apartment,Semi-Furnished,1,0,1,0,1,0,1,1,0,1,30,1,1,13.0903,80.2386,12311463
Kurnool,C-Camp,744,892,1115,2,2,3,1,4,4,20,East,Apartment,Unfurnished,1,1,1,0,0,0,1,1,1,0,60,0,1,15.7888,78.0549,5109325
Kurnool,Nandyal Road,731,877,1096,2,2,2,0,1,3,7,South,Villa,Unfurnished,1,0,1,1,0,1,1,1,1,1,20,0,0,15.8027,78.0184,6653134
Kurnool,C-Camp,545,654,817,1,1,1,2,2,4,16,West,Builder Floor,Semi-Furnished,1,0,1,0,0,1,1,1,1,0,30,1,0,15.832,78.0642,4150639
Rajahmundry,Ramanayyapeta,2005,2406,3007,5,5,3,0,4,4,12,West,Apartment,Semi-Furnished,1,1,1,0,0,1,1,1,1,0,40,0,0,17.0225,81.7272,10787282
Tirupati,Renigunta Road,1762,2114,2642,4,4,0,0,2,7,23,North,Apartment,Semi-Furnished,1,0,1,0,0,0,1,1,0,0,30,0,0,13.6203,79.3192,10692871
Lucknow,Gomti Nagar,364,436,545,1,1,3,1,3,4,3,East,Apartment,Unfurnished,1,1,1,0,0,0,1,1,0,1,20,0,1,26.8609,81.036,4135588
Guntur,Arundelpet,899,1078,1347,2,1,2,0,1,1,17,West,Villa,Fully Furnished,1,0,1,0,0,1,1,1,1,1,40,1,0,16.3711,80.4121,12184433
Bangalore,Whitefield,516,619,773,1,2,2,1,9,15,9,North,Builder Floor,Semi-Furnished,1,0,1,0,0,1,0,1,1,1,40,0,0,13.0143,77.6086,6504593
Guntur,Gorantla,517,620,775,1,1,1,0,4,4,20,East,Apartment,Semi-Furnished,0,1,1,0,0,0,0,1,1,1,60,0,1,16.2468,80.4856,2522792
Kurnool,Kallur,531,637,796,1,1,0,1,1,4,6,North,Builder Floor,Fully Furnished,1,1,1,0,0,1,0,1,1,1,30,1,0,15.8221,77.9587,3397823
Guntur,Brodipet,938,1125,1406,2,3,1,0,6,10,23,East,Apartment,Unfurnished,1,1,1,0,0,0,1,1,0,0,30,1,1,16.278,80.4909,7925841
Ahmedabad,SG Highway,1699,2038,2547,4,4,0,1,6,15,15,West,Penthouse,Unfurnished,1,1,1,0,0,1,1,1,1,0,40,0,0,23.0488,72.5636,18408421
Guntur,Pattabhipuram,1256,1507,1883,3,3,2,0,28,30,15,South,Builder Floor,Semi-Furnished,1,1,1,0,0,0,1,1,1,1,60,0,0,16.3309,80.4146,9955633
Pune,Baner,2004,2404,3005,5,4,2,1,11,20,25,West,Apartment,Fully Furnished,1,1,0,1,1,1,1,1,1,1,40,0,0,18.5187,73.9307,20873189
Tirupati,Renigunta Road,1374,1648,2060,3,3,1,1,5,15,16,North,Apartment,Unfurnished,1,0,0,0,1,1,1,1,1,0,20,0,0,13.6468,79.4262,8502378
Guntur,Lakshmipuram,1181,1417,1771,3,2,2,1,30,40,15,South,Apartment,Unfurnished,0,1,1,1,0,1,1,0,1,1,30,0,0,16.3075,80.4261,10361622
Bangalore,Jayanagar,1736,2083,2603,4,4,1,0,3,10,9,North,Apartment,Semi-Furnished,1,1,0,0,0,0,1,0,1,1,80,0,0,12.9452,77.5368,32539441
Kadapa,RIMS Area,518,621,776,1,1,2,1,10,15,13,South,Apartment,Semi-Furnished,1,0,1,0,1,1,1,0,1,1,30,1,0,14.5552,78.8423,3573887
Visakhapatnam,Seethammadhara,1128,1353,1691,3,2,0,1,13,20,7,South,Apartment,Semi-Furnished,1,1,1,1,1,0,1,1,0,1,40,0,0,17.6565,83.3449,20134954
Tirupati,Bairagipatteda,986,1183,1478,2,2,0,1,1,4,12,South,Apartment,Unfurnished,1,1,0,0,0,1,1,1,1,0,30,0,0,13.5429,79.4375,7234335
Kakinada,NFCL Road,711,853,1066,2,2,2,1,5,7,21,West,Builder Floor,Fully Furnished,1,0,1,0,0,1,1,1,1,1,30,0,0,16.9702,82.2564,3513999
Ahmedabad,SG Highway,1398,1677,2096,3,3,1,0,3,7,11,West,Apartment,Semi-Furnished,1,0,1,0,0,1,1,1,1,1,30,0,0,23.0877,72.6286,12381974
Vizianagaram,Cantonment,1114,1336,1670,3,4,1,1,22,40,22,West,Apartment,Unfurnished,1,1,1,0,1,1,1,1,1,0,30,0,0,18.0851,83.3468,6968701
Kakinada,NFCL Road,1121,1345,1681,3,3,1,2,5,15,18,North,Apartment,Semi-Furnished,1,1,1,0,0,0,1,1,1,0,30,0,0,16.9769,82.2311,5182437
Kadapa,Ravindra Nagar,971,1165,1456,2,2,2,2,1,4,15,South,Apartment,Fully Furnished,1,0,1,0,0,1,0,1,1,0,40,0,0,14.4223,78.8343,5107573
Ahmedabad,Bopal,1239,1486,1857,3,4,1,1,3,30,22,South,Builder Floor,Fully Furnished,1,1,0,0,0,1,0,1,1,1,40,0,0,22.9767,72.515,8326396
